"partnumber","aviallaltuser","aviallaltuser - Price","aviallaltuser - Stock"
"AN924-12D","aviallaltuser",8.23,117
"AS3209-122","aviallaltuser",1.17,467
"AS4824N04","aviallaltuser",4.2,1
"MS16625-4037","aviallaltuser",1.08,137
"MS24621-7","aviallaltuser",7.12,1212
"MS24674-18","aviallaltuser",7.73,79
"MS9060-28","aviallaltuser",39.92,242
"MS9217-12","aviallaltuser",16.73,40
"MS9314-03","aviallaltuser",77.53,10
"MS9529-06","aviallaltuser",28.37,219
"AN929-3J",,,
"20303AF","aviallaltuser",10.08,1134
"20305AF","aviallaltuser",6.41,382
"20313AF","aviallaltuser",34.21,516
"20315AF","aviallaltuser",20.92,157
"23005934P0011","aviallaltuser",48.5,2048
"6784105P0015","aviallaltuser",73.25,80
"6784105P009","aviallaltuser",202.49,2
"23034166-05-10","aviallaltuser",130.94,201
"23034166-06-11","aviallaltuser",100.91,23
"23034166-06H11","aviallaltuser",126.35,64
"23034166-06H15","aviallaltuser",140.06,77
"23066708-024","aviallaltuser",393.26,17
"3500AS12","aviallaltuser",200.94,159
"40138P009","aviallaltuser",8,157
"44060P003","aviallaltuser",37.21,2
"44060P009","aviallaltuser",26.1,265
"501PSECTKIT","aviallaltuser",594.59,1
"6705112P020","aviallaltuser",1108.26,12
"6705924P005","aviallaltuser",56.57,70
"6709216P003","aviallaltuser",69.68,123
"6748072-337","aviallaltuser",38.93,326
"6749115-1032","aviallaltuser",57.62,185
"6749115-428","aviallaltuser",19.76,1322
"6749195-1032","aviallaltuser",142.55,89
"6749294-428","aviallaltuser",33.06,2298
"6749294-524","aviallaltuser",20.48,4273
"6782262-624","aviallaltuser",74.39,3155
"6782887-428","aviallaltuser",5.22,5790
"6782887-524","aviallaltuser",273.1,2266
"6782887-632","aviallaltuser",159.14,32
"6784209P003","aviallaltuser",84.53,42
"6787535P006","aviallaltuser",1783.9,3
"6800193-171","aviallaltuser",5.83,141
"6800218-321","aviallaltuser",2.47,2352
"6812283-624","aviallaltuser",262.22,6
"6820204-141","aviallaltuser",139.52,1
"6820421-428","aviallaltuser",207.94,40
"6828826-524","aviallaltuser",58.81,1330
"6828827-428","aviallaltuser",179.59,29
"6841728-032","aviallaltuser",329.66,23
"6841728-039","aviallaltuser",45,79
"6841729-026","aviallaltuser",27.02,14
"6841729-027","aviallaltuser",44.92,1178
"6841729-188","aviallaltuser",33.85,56
"6841730-047","aviallaltuser",147.19,31
"6841730-048","aviallaltuser",227.72,7
"6841730-057","aviallaltuser",147.17,109
"6841731-047","aviallaltuser",630.44,14
"6841732-186","aviallaltuser",33.9,15
"6841732-187","aviallaltuser",302.12,18
"6841732-189","aviallaltuser",45.59,57
"6844588-12061","aviallaltuser",101.39,44
"6844591-12101","aviallaltuser",14.4,303
"6844727-1437","aviallaltuser",85.93,190
"6844830-428","aviallaltuser",79.34,19
"6846184-428","aviallaltuser",23.96,5261
"6886430E062E140","aviallaltuser",366.44,20
"6886430G160F342","aviallaltuser",252,14
"6892853P006","aviallaltuser",55.97,25
"8982156P003","aviallaltuser",53.62,1
"A15LFEC0MP0IL","aviallaltuser",858.23,8
"AN101006","aviallaltuser",29.27,618
"AN101007","aviallaltuser",4.92,553
"AN101008","aviallaltuser",2.57,1277
"AN101009","aviallaltuser",2.36,320
"AN101013","aviallaltuser",2.03,120
"AN101015","aviallaltuser",25.07,375
"AN101016","aviallaltuser",46.2,118
"AN101024","aviallaltuser",10.36,194
"AN101025","aviallaltuser",45.08,4
"AN101110","aviallaltuser",13.74,16
"AN101121","aviallaltuser",18.68,1806
"AN101126","aviallaltuser",20.07,10
"AN101128","aviallaltuser",14.36,20
"AN101129","aviallaltuser",13.98,46
"AN101210","aviallaltuser",6.07,19
"AN102907","aviallaltuser",14.76,10
"AN315C4R","aviallaltuser",1.65,59
"AN103033","aviallaltuser",6.23,7
"AN103828","aviallaltuser",7.11,14
"AN103830","aviallaltuser",42.34,63
"AN103843","aviallaltuser",13.98,67
"AN104607","aviallaltuser",3.75,233
"AN104608","aviallaltuser",7.08,18
"AN104613","aviallaltuser",13.54,54
"AN104620","aviallaltuser",40.59,275
