"partNumber","description","category","subCategory","manufacturer","stock","imgUrl","weight","vendor","price","unitMeasure","url","createdAt","updatedAt"
"6825275","PLUG: MAGNETIC,MACHINE THREAD, REDUCTION GEAR ASSEMBLY","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",10,null,0,"aviallaltuser",640,"","https://shop.boeing.com/aviation-supply/p/6825275=T5","{\"$date\":\"2024-02-13T19:56:22.209Z\"}","{\"$date\":\"2024-02-25T16:19:48.407Z\"}"
"6825392","WASHER: FLT,ST,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",584,null,0,"aviallaltuser",22.59,"","https://shop.boeing.com/aviation-supply/p/6825392=R4","{\"$date\":\"2024-02-13T19:56:47.798Z\"}","{\"$date\":\"2024-02-25T19:37:06.524Z\"}"
"6825525","STUD:,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",19,"https://www.aviall.com/content-images/6825525=T5_120.JPG",0,"aviallaltuser",185.63,"","https://shop.boeing.com/aviation-supply/p/6825525=T5","{\"$date\":\"2024-02-13T19:58:37.905Z\"}","{\"$date\":\"2024-02-25T16:06:45.269Z\"}"
"6825525P0045","STUD:,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",0,null,0,"aviallaltuser",null,"","https://shop.boeing.com/aviation-supply/p/6825525P0045=T5","{\"$date\":\"2024-02-13T19:58:50.794Z\"}","{\"$date\":\"2024-02-25T19:10:20.838Z\"}"
"6825525P0075","STUD:,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",0,null,0,"aviallaltuser",null,"","https://shop.boeing.com/aviation-supply/p/6825525P0075=T5","{\"$date\":\"2024-02-13T19:58:54.671Z\"}","{\"$date\":\"2024-02-25T19:53:55.239Z\"}"
"6825528","BOLT: 12PT HD,DRILLED,ST,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",345,"https://www.aviall.com/content-images/6825528=64_120.JPG",0,"aviallaltuser",50.44,"","https://shop.boeing.com/aviation-supply/p/6825528=64","{\"$date\":\"2024-02-13T19:59:21.116Z\"}","{\"$date\":\"2024-02-25T15:41:43.651Z\"}"
"6826918","ADAPTER: STR,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",6,"https://www.aviall.com/content-images/6826918=T5_120.JPG",0,"aviallaltuser",221.34,"","https://shop.boeing.com/aviation-supply/p/6826918=T5","{\"$date\":\"2024-02-13T20:00:40.498Z\"}","{\"$date\":\"2024-02-25T16:01:13.291Z\"}"
"6827849","GEAR: COMPRESSOR,SIDE,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",5,"https://www.aviall.com/content-images/6827849=T5_120.JPG",0,"aviallaltuser",11032.1,"","https://shop.boeing.com/aviation-supply/p/6827849=T5","{\"$date\":\"2024-02-13T20:04:33.835Z\"}","{\"$date\":\"2024-02-25T16:15:51.267Z\"}"
"6829398","GEAR: SPUR SCAV PUMP DRIVE,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",11,null,0,"aviallaltuser",14325.13,"","https://shop.boeing.com/aviation-supply/p/6829398=T5","{\"$date\":\"2024-02-14T00:59:50.531Z\"}","{\"$date\":\"2024-02-25T16:39:30.265Z\"}"
"6829451","Rolls-Royce® Prop. Brake Outer Member 6829451","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",0,"https://www.aviall.com/content-images/6829451=T5_120.JPG",0,"aviallaltuser",23415,"","https://shop.boeing.com/aviation-supply/p/6829451=T5","{\"$date\":\"2024-02-14T01:00:17.490Z\"}","{\"$date\":\"2024-02-25T15:56:18.268Z\"}"
"6829641","NUT: SPANNER,SPECIAL LOCK FLANGE,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",87,"https://www.aviall.com/content-images/6829641=64_120.JPG",0,"aviallaltuser",133.53,"","https://shop.boeing.com/aviation-supply/p/6829641=64","{\"$date\":\"2024-02-14T01:01:12.455Z\"}","{\"$date\":\"2024-02-25T15:26:30.084Z\"}"
"6840109","RETAINER: BEARING,FUEL CONTROL,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",22,null,0,"aviallaltuser",68.13,"","https://shop.boeing.com/aviation-supply/p/6840109=R4","{\"$date\":\"2024-02-14T01:02:58.456Z\"}","{\"$date\":\"2024-02-25T18:57:51.410Z\"}"
